/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
/usr/bin/time -p parallel --pipe -j 8 /usr/bin/fgrep parallel < ~/Downloads/stackoverflow.com-Posts > /dev/null 2> /tmp/tmpfile
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 466.30
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 468.00
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 473.38
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 480.68
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 527.25
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 499.99
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 528.58
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 536.11
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 599.57
gnu parallel bsd fgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 624.58
